Date : 2025-10-29 01:41:54
Directory : e:\Documents\Programs\Chinese-Chess-v3
Total : 231 files,  10313 codes, 5802 comments, 2822 blanks, all 18937 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\BaseDefaults.cs                  | C#           |         15 |          8 |          8 |         31 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\ButtonDefaults.cs                | C#           |         15 |          8 |          8 |         31 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\ContainerDefaults.cs             | C#           |         15 |          8 |          8 |         31 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\MenuDefaults.cs                  | C#           |         34 |         11 |         21 |         66 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\ScrollContainerDefaults.cs       | C#           |         16 |          8 |          9 |         33 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\TextBoxDefaults.cs               | C#           |         25 |         10 |         15 |         50 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Components\UIElementType.cs                 | C#           |         18 |          8 |          2 |         28 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Core\Alignment.cs                           | C#           |         10 |          9 |          2 |         21 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Core\Anchor.cs                              | C#           |         19 |          9 |          3 |         31 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Core\PaddingF.cs                            | C#           |         13 |          9 |          3 |         25 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Constants\Events\UIEventType.cs                       | C#           |         11 |         11 |          1 |         23 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Bases\InitializableOnceBase.cs                   | C#           |         36 |         28 |         20 |         84 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Bases\UIElementBase.cs                           | C#           |        118 |        188 |         77 |        383 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Bases\UIHandlerBase.cs                           | C#           |         17 |          9 |         12 |         38 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Bases\UIRendererBase.cs                          | C#           |         10 |          9 |          5 |         24 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIButton.cs                             | C#           |         45 |          9 |         16 |         70 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIContainer.cs                          | C#           |         49 |         13 |         22 |         84 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIElement.cs                            | C#           |        367 |        145 |        102 |        614 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UILabel.cs                              | C#           |         34 |         26 |         20 |         80 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIMenu.cs                               | C#           |        107 |         16 |         34 |        157 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UINode.cs                               | C#           |         20 |         27 |         12 |         59 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIOverlayMask.cs                        | C#           |         69 |         18 |         17 |        104 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIOverlayNode.cs                        | C#           |         11 |         29 |          3 |         43 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIRootNode.cs                           | C#           |         19 |         30 |          6 |         55 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UIScrollContainer.cs                    | C#           |        141 |         81 |         42 |        264 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Elements\UITextBox.cs                            | C#           |        150 |         37 |         46 |        233 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UIButtonHandler.cs                      | C#           |         34 |         10 |         11 |         55 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UIContainerHandler.cs                   | C#           |         13 |          8 |          3 |         24 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UIHandler.cs                            | C#           |         71 |         11 |         24 |        106 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UILabelHandler.cs                       | C#           |         15 |         16 |          6 |         37 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UIMenuHandler.cs                        | C#           |         19 |          8 |          5 |         32 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UIScrollContainerHandler.cs             | C#           |        101 |         52 |         18 |        171 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Handlers\UITextBoxHandler.cs                     | C#           |         34 |         20 |          9 |         63 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IDrawable.cs                          | C#           |          8 |         28 |          2 |         38 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IInitializableOnce.cs                 | C#           |         13 |         32 |          5 |         50 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IResettable.cs                        | C#           |          7 |         14 |          2 |         23 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IScreen.cs                            | C#           |          8 |         30 |          3 |         41 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IUiContainer.cs                       | C#           |          9 |         31 |          4 |         44 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IUiFactory.cs                         | C#           |         46 |         25 |         16 |         87 |
| e:\Documents\Programs\Chinese-Chess-v3\Engine\UI\Core\Interfaces\IUpdatable.cs                         | C#           |          7 |         22 |          2 |         31 |
